Year,Pick,Team,Player,College,Games,Minutes,Points,Rebounds,Assists,FG%,3P%,FT%,Win Shares,WS/48,BPM,VORP,MPG,PPG,RPG,APG,Pick Range,Career Tier,Bust?,Pick Efficiency,Value Above Expected
2010,22,POR,Elliot Williams,Memphis,109,1470,537,161,94,0.421,0.31,0.669,0.7,0.024,-4.9,-1.1,13.5,4.9,1.5,0.9,Late First,Minimal,No,0.03,-17.78
2010,23,MIN,Trevor Booker,Clemson,532,10872,3679,2932,566,0.515,0.305,0.636,26.2,0.116,-0.5,4.2,20.4,6.9,5.5,1.1,Late First,Rotation,No,1.14,9.56
2010,24,ATL,Damion James,Texas,39,623,150,131,26,0.415,0,0.667,0,-0.001,-3.7,-0.3,16,3.8,3.4,0.7,Late First,Minimal,No,0.00,-24.50
2010,25,MEM,Dominique Jones,South Florida,80,741,246,114,144,0.366,0.095,0.729,0.3,0.017,-2.4,-0.1,9.3,3.1,1.4,1.8,Late First,Minimal,No,0.01,-12.60
2010,26,OKC,Quincy Pondexter,Washington,355,5530,1609,640,263,0.423,0.356,0.746,9.7,0.084,-1.8,0.3,15.6,4.5,1.8,0.7,Late First,Minimal,No,0.37,-10.70
2010,27,BRK,Jordan Crawford,Xavier,281,6843,3432,703,883,0.411,0.317,0.826,6.3,0.044,-1.3,1.3,24.4,12.2,2.5,3.1,Late First,Minimal,No,0.23,-14.81
2010,28,MEM,Greivis Vásquez,Maryland,401,9520,3591,1021,1935,0.418,0.349,0.817,12.6,0.064,-1.2,1.8,23.7,9,2.5,4.8,Late First,Rotation,No,0.45,3.95
2010,29,ORL,Daniel Orton,Kentucky,51,542,143,126,24,0.485,0,0.597,1,0.093,-3.5,-0.2,10.6,2.8,2.5,0.5,Late First,Minimal,No,0.03,-4.07
2010,30,WAS,Lazar Hayward,Marquette,72,591,207,90,35,0.347,0.269,0.767,0.2,0.02,-4.2,-0.3,8.2,2.9,1.3,0.5,Late First,Minimal,No,0.01,-20.52
2011,1,CLE,Kyrie Irving,Duke,596,20220,13631,2279,3411,0.469,0.391,0.882,69.8,0.166,4.5,33.2,33.9,22.9,3.8,5.7,Top 5,Starter,No,69.80,26.22
2011,2,MIN,Derrick Williams,Arizona,428,8864,3809,1693,293,0.434,0.3,0.71,14.1,0.076,-1.6,0.8,20.7,8.9,4,0.7,Top 5,Rotation,No,7.05,-25.69
2011,3,UTA,Enes Freedom,,748,16101,8349,5822,638,0.548,0.289,0.777,52.8,0.157,-0.1,7.6,21.5,11.2,7.8,0.9,Top 5,Starter,No,17.60,2.03
